Fecha;Turno;Proveedor;KLS Leche
2023/04/01;M;00001;156
2023/04/01;T;00001;123
2023/04/01;M;00004;61
2023/04/00;M;00002;94
2023/04/00;M;00001;86
2023/04/00;T;00001;123
2023/04/00;T;00002;143
2023/04/00;M;00001;76
2023/04/00;T;00003;80
2023/04/00;T;00001;44
2023/04/00;M;00004;74
2023/04/00;M;00001;36
2023/04/00;T;00001;123
2023/04/00;T;00004;59
2023/04/00;M;00005;151
2023/04/00;M;00001;86
2023/04/00;T;00001;73
2023/04/00;T;00002;22
2023/04/00;M;00001;73
2023/04/00;M;00005;52
2023/04/00;T;00001;65
2023/04/00;T;00003;54
2023/04/00;M;00004;88
2023/04/00;T;00004;63
2023/04/00;M;00002;90
2023/04/00;T;00005;84
2023/04/00;M;00001;64
2023/04/00;M;00003;46
2023/04/00;T;00001;22
2023/04/00;M;00004;100
2023/04/00;M;00001;73
2023/04/00;T;00001;120
2023/04/00;T;00004;35
2023/04/00;M;00005;49
2023/04/00;T;00005;79
2023/04/00;M;00001;69
2023/04/00;M;00003;59
2023/04/00;T;00001;70
2023/04/00;T;00003;54
2023/04/00;T;00005;130
2023/04/00;M;00004;45
2023/04/00;T;00004;63
2023/04/00;M;00003;76
2023/04/00;M;00001;46
2023/04/00;T;00001;53
2023/04/00;T;00002;83


